ID,_Option_Group1,_Option_Group2,_Option_Group3,_Option_Group4,_Option_Group5,_Option_Group6,_Option_Group7,_Option_Group8,_Option_Group9,_Option_Group10,_Option_Group11,_Option_Group12,_Option_Group13,_Option_Group14,_Option_Group15,_Option_Group16,_Option_Group17,_Option_Group18,_Option_Group19,_Option_Group20,_Option_Description,_Option_Check
1,1,7,5,3,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
2,1,3,5,7,29,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
3,1,7,5,3,24,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
4,1,7,5,3,34,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
5,1,7,5,3,34,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
7,1,7,5,3,25,28,29,56,34,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
8,1,7,5,3,25,21,32,34,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
9,1,3,5,7,25,32,33,34,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
10,1,3,5,7,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
11,1,7,5,3,254,255,256,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
12,1,7,5,3,24,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
13,1,7,5,3,34,32,9,256,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
14,2,8,6,4,27,43,34,32,33,10,256,9,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
15,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
16,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
17,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
18,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
19,2,8,6,4,31,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
20,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
21,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
22,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
23,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
24,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
26,2,8,6,4,31,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
27,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
28,2,8,6,4,31,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
29,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
30,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
31,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
32,1,3,5,7,29,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
33,1,3,5,7,25,32,33,34,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
34,1,3,5,7,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
35,57,58,65,66,68,67,69,70,190,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
36,59,58,84,79,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
37,60,58,80,81,83,82,72,71,191,263,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
38,61,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
39,63,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
40,64,62,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
41,73,74,75,76,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
42,85,86,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
43,21,32,93,94,95,96,97,99,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
44,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
45,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
46,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
47,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
48,2,8,6,4,257,258,259,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
49,2,8,6,4,31,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
50,1,7,5,3,32,100,101,102,103,33,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
51,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
52,2,8,6,4,30,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
53,104,105,106,107,118,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
54,104,105,106,107,117,108,118,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
55,104,105,106,107,117,108,118,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
56,104,105,106,107,118,115,113,116,117,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
57,104,105,106,107,118,110,111,117,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
58,104,105,106,107,118,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
59,104,105,106,107,117,108,118,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
60,104,105,106,107,117,108,118,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
61,104,105,106,107,118,115,113,116,117,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
62,104,105,106,107,118,110,111,117,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
73,119,120,127,128,129,130,131,132,193,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
74,121,120,141,146,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
75,122,120,142,143,144,145,134,133,194,262,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
76,123,124,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
77,125,124,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
78,126,124,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
79,135,136,137,138,139,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
80,157,158,165,166,168,167,169,170,195,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
81,159,158,184,179,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
82,160,158,180,181,183,182,172,171,196,252,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
83,161,162,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
84,163,162,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
85,164,162,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
86,173,174,175,176,177,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
87,2,8,6,4,31,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
88,204,205,206,207,208,209,197,198,199,200,201,202,203,260,261,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
89,204,205,206,207,208,209,197,198,199,200,201,202,203,260,261,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
90,215,216,217,218,219,220,221,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
91,222,223,230,231,232,233,234,235,250,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
92,224,223,244,249,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
93,225,223,245,246,247,248,237,236,251,253,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
94,265,227,235,222,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
95,266,227,235,224,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
96,267,227,236,225,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
97,238,239,240,241,242,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
98,268,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
99,270,271,272,273,25,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
100,270,271,272,273,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
101,270,271,272,273,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
102,270,271,272,273,25,276,277,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
103,270,271,272,273,25,21,32,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
105,278,281,292,293,280,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
106,278,281,292,293,279,285,291,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
107,278,281,292,293,283,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
108,278,281,292,293,280,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
109,278,281,292,293,287,288,289,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
110,278,281,292,293,280,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
114,294,295,296,297,25,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
115,294,295,296,297,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
116,294,295,296,297,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
117,294,295,296,297,25,276,277,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
118,294,295,296,297,25,21,32,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
120,298,299,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
121,301,302,303,304,305,306,307,308,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
123,309,310,311,312,313,314,315,316,0,0,0,0,0,0,0,0,0,0,0,0,,1
124,309,310,311,312,313,314,318,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
125,309,310,311,312,313,314,319,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
126,309,310,311,312,313,314,316,317,0,0,0,0,0,0,0,0,0,0,0,0,,1
127,309,310,311,312,313,314,320,321,0,0,0,0,0,0,0,0,0,0,0,0,,1
128,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
131,323,324,325,326,327,328,329,330,331,332,333,0,0,0,0,0,0,0,0,0,,1
132,334,335,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
133,336,338,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
134,337,339,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
135,340,341,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
136,345,347,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
137,349,350,351,352,353,354,355,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
138,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,,0
139,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,,1
140,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,,1
141,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,,1
142,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
